Results of gridsearch for isbi2013_nn_train for ffeat = ffeat_bert2
m	prec	RI	RI_adapt	VI	FSCORE
10	0.001	0.99293	0.994907	1.19453	0.773591
10	1e-10	0.99296	0.994928	1.18831	0.774334
10	1e-25	0.99296	0.994928	1.18831	0.774334
12	0.001	0.99316	0.995072	1.15803	0.779838
12	1e-10	0.99316	0.995068	1.15183	0.779708
12	1e-25	0.99316	0.995068	1.15183	0.779708
14	0.001	0.99317	0.995081	1.14834	0.780351
14	1e-10	0.99323	0.995119	1.13765	0.781707
14	1e-25	0.99323	0.995119	1.13765	0.781707
15	0.001	0.99317	0.995081	1.14200	0.780584
15	1e-10	0.99315	0.995064	1.14036	0.780023
15	1e-25	0.99315	0.995064	1.14036	0.780023
16	0.001	0.99318	0.995087	1.12997	0.781894
16	1e-10	0.99316	0.995072	1.13319	0.781398
16	1e-25	0.99316	0.995072	1.13319	0.781398
18	0.001	0.99307	0.995009	1.12634	0.779208
18	1e-10	0.99313	0.995049	1.12371	0.780799
18	1e-25	0.99313	0.995049	1.12371	0.780799
20	0.001	0.99320	0.995099	1.10622	0.782882
20	1e-10	0.99317	0.995079	1.11250	0.782391
20	1e-25	0.99317	0.995079	1.11250	0.782391
