Results of gridsearch for isbi2013_nn_train for ffeat = ffeat_ert2
m	prec	RI	RI_adapt	VI	FSCORE
10	0.001	0.99548	0.996746	1.10954	0.840226
10	1e-10	0.99538	0.996673	1.11923	0.837331
10	1e-25	0.99538	0.996673	1.11923	0.837331
12	0.001	0.99510	0.996472	1.12249	0.829412
12	1e-10	0.99502	0.996409	1.12540	0.827034
12	1e-25	0.99502	0.996409	1.12540	0.827034
14	0.001	0.99499	0.996394	1.11505	0.827262
14	1e-10	0.99511	0.996474	1.10753	0.830640
14	1e-25	0.99511	0.996474	1.10753	0.830640
15	0.001	0.99500	0.996398	1.11654	0.827529
15	1e-10	0.99499	0.996392	1.11400	0.827551
15	1e-25	0.99499	0.996392	1.11400	0.827551
16	0.001	0.99494	0.996353	1.11832	0.825809
16	1e-10	0.99494	0.996356	1.11457	0.826161
16	1e-25	0.99494	0.996356	1.11457	0.826161
18	0.001	0.99505	0.996435	1.09802	0.829473
18	1e-10	0.99502	0.996409	1.09711	0.828732
18	1e-25	0.99502	0.996409	1.09711	0.828732
20	0.001	0.99530	0.996612	1.08364	0.836592
20	1e-10	0.99529	0.996603	1.07965	0.836576
20	1e-25	0.99529	0.996603	1.07965	0.836576
